CTE, steer_value
0.215,-0.037496
0.2989,-0.0521282
0.4685,-0.0817064
0.5538,-0.0965827
0.7246,-0.12637
0.8099,-0.141247
0.8947,-0.156036
1.0667,-0.186032
-1.4075,0.245468
1.3368,-0.233138
1.4287,-0.249165
1.618,-0.282179
1.7145,-0.299009
1.8092,-0.315524
1.989,-0.346882
2.0732,-0.361566
2.2304,-0.388982
2.3038,-0.401783
2.4394,-0.425431
2.5017,-0.436296
2.5602,-0.446499
2.6661,-0.464968
2.7135,-0.473234
2.7975,-0.487884
2.8341,-0.494267
2.8672,-0.50004
2.9229,-0.509754
2.9457,-0.51373
2.9816,-0.519991
2.995,-0.522328
3.0053,-0.524124
3.0176,-0.526269
3.0198,-0.526653
3.0168,-0.52613
3.0117,-0.52524
3.0046,-0.524002
2.9842,-0.520444
2.9712,-0.518177
2.9565,-0.515614
2.9227,-0.509719
2.9037,-0.506405
2.8834,-0.502865
2.8398,-0.495261
2.8165,-0.491198
2.7925,-0.487012
2.7424,-0.478275
2.7166,-0.473775
2.6904,-0.469206
2.637,-0.459893
2.61,-0.455184
2.583,-0.450475
2.5288,-0.441023
2.5018,-0.436314
2.4749,-0.431623
2.4217,-0.422344
2.3955,-0.417775
2.3696,-0.413258
2.3191,-0.404451
2.2945,-0.400161
2.2705,-0.395975
2.247,-0.391877
2.202,-0.384029
2.1804,-0.380262
2.1595,-0.376617
2.1197,-0.369676
2.1009,-0.366397
2.0829,-0.363258
2.0491,-0.357363
2.0334,-0.354625
2.0185,-0.352026
1.9898,-0.347021
1.9754,-0.34451
1.9611,-0.342016
1.9325,-0.337028
1.9182,-0.334534
1.9039,-0.33204
1.8896,-0.329546
1.861,-0.324558
1.8467,-0.322064
1.8324,-0.319571
1.8038,-0.314583
1.7895,-0.312089
1.7752,-0.309595
1.761,-0.307118
1.7324,-0.302131
1.7181,-0.299637
1.7038,-0.297143
1.6895,-0.294649
1.6609,-0.289661
1.6466,-0.287167
1.6323,-0.284673
1.6036,-0.279668
1.5893,-0.277174
1.575,-0.27468
1.5463,-0.269675
1.5319,-0.267163
1.5175,-0.264652
1.5031,-0.262141
1.4742,-0.2571
1.4597,-0.254572
1.4452,-0.252043
1.4306,-0.249497
1.4014,-0.244404
1.3867,-0.24184
1.3719,-0.239259
1.3571,-0.236678
1.3273,-0.231481
1.3123,-0.228865
1.2973,-0.226249
1.2821,-0.223598
1.2515,-0.218262
1.2361,-0.215576
1.2206,-0.212873
1.205,-0.210152
1.1734,-0.204641
1.1574,-0.201851
1.1413,-0.199043
1.1251,-0.196217
1.0923,-0.190497
1.0757,-0.187602
1.0589,-0.184672
1.042,-0.181725
1.0077,-0.175743
0.9903,-0.172708
0.9727,-0.169639
0.937,-0.163413
0.9189,-0.160256
0.9006,-0.157065
0.8821,-0.153838
0.8445,-0.147281
0.8254,-0.14395
0.806,-0.140566
0.7865,-0.137166
0.7467,-0.130224
0.7264,-0.126684
0.7059,-0.123109
0.6852,-0.119499
0.643,-0.112139
0.6215,-0.10839
0.5997,-0.104588
0.5776,-0.100733
0.5327,-0.0929029
0.5098,-0.0889091
0.4866,-0.084863
0.4632,-0.0807821
0.4153,-0.0724283
0.391,-0.0681904
0.3663,-0.0638827
0.3412,-0.0595053
0.2902,-0.0506109
0.2642,-0.0460765
0.2379,-0.0414898
0.2113,-0.0368507
0.1569,-0.0273634
0.1292,-0.0225325
0.1012,-0.0176493
0.0728,-0.0126963
0.0149,-0.00259856
-0.0146,0.00254624
-0.0444,0.00774336
-0.0747,0.0130277
-0.1361,0.0237358
-0.1673,0.0291771
-0.1989,0.0346882
-0.2306,0.0402166
-0.2627,0.0458149
-0.3274,0.0570986
-0.3601,0.0628014
-0.393,0.0685392
-0.459,0.0800496
-0.4921,0.0858222
-0.5251,0.0915774
-0.558,0.0973152
-0.5908,0.103036
-0.6561,0.114424
-0.807,0.140741
-0.7593,0.132422
-0.7838,0.136695
-0.815,0.142136
-0.8459,0.147525
-0.8765,0.152862
-0.9067,0.158128
-0.9662,0.168505
-0.9953,0.17358
-1.024,0.178586
-1.0523,0.183521
-1.1078,0.1932
-1.1352,0.197979
-1.1622,0.202688
-1.1888,0.207327
-1.241,0.21643
-1.2665,0.220878
-1.2916,0.225255
-1.3165,0.229598
-1.3642,0.237916
-1.3877,0.242015
-1.4106,0.246009
-1.4332,0.24995
-1.4762,0.257449
-1.4972,0.261112
-1.5175,0.264652
-1.5375,0.26814
-1.5759,0.274837
-1.5942,0.278028
-1.6121,0.28115
-1.6294,0.284167
-1.6621,0.28987
-1.6775,0.292556
-1.692,0.295085
-1.7056,0.297457
-1.7301,0.301729
-1.741,0.30363
-1.7509,0.305357
-1.7599,0.306927
-1.7756,0.309665
-1.7826,0.310885
-1.7891,0.312019
-1.7951,0.313065
-1.8105,0.315751
-1.8149,0.316519
-1.8226,0.317861
-1.8262,0.318489
-1.8296,0.319082
-1.833,0.319675
-1.8395,0.320809
-1.8425,0.321332
-1.8455,0.321855
-1.8512,0.322849
-1.8539,0.32332
-1.8564,0.323756
-1.8589,0.324192
-1.8636,0.325012
-1.8659,0.325413
-1.868,0.325779
-1.872,0.326477
-1.8738,0.326791
-1.8756,0.327105
-1.8789,0.32768
-1.8804,0.327942
-1.8818,0.328186
-1.8832,0.32843
-1.8856,0.328849
-1.8867,0.32904
-1.8878,0.329232
-1.8896,0.329546
-1.8904,0.329686
-1.8911,0.329808
-1.8924,0.330035
-1.8929,0.330122
-1.8933,0.330192
-1.894,0.330314
-1.8942,0.330348
-1.8944,0.330383
-1.8945,0.330401
-1.8945,0.330401
-1.8944,0.330383
-1.8942,0.330348
-1.8937,0.330261
-1.8934,0.330209
-1.893,0.330139
-1.892,0.329965
-1.8915,0.329878
-1.8908,0.329756
-1.8894,0.329511
-1.8886,0.329372
-1.8878,0.329232
-1.886,0.328918
-1.885,0.328744
-1.884,0.32857
-1.8817,0.328168
-1.8805,0.327959
-1.8793,0.32775
-1.8767,0.327296
-1.8754,0.32707
-1.874,0.326826
-1.871,0.326302
-1.8695,0.326041
-1.868,0.325779
-1.8647,0.325204
-1.863,0.324907
-1.8613,0.324611
-1.8578,0.324
-1.8559,0.323669
-1.8541,0.323355
-1.8503,0.322692
-1.8483,0.322344
-1.8463,0.321995
-1.8422,0.32128
-1.8401,0.320913
-1.838,0.320547
-1.8337,0.319797
-1.8314,0.319396
-1.8292,0.319012
-1.8246,0.31821
-1.8223,0.317809
-1.8176,0.316989
-1.8151,0.316553
-1.8127,0.316135
-1.8077,0.315263
-1.8052,0.314827
-1.8027,0.314391
-1.7976,0.313501
-1.795,0.313048
-1.7923,0.312577
-1.787,0.311653
-1.7844,0.311199
-1.7817,0.310728
-1.7762,0.309769
-1.7735,0.309298
-1.7707,0.30881
-1.7651,0.307833
-1.7594,0.306839
-1.7565,0.306334
-1.7507,0.305322
-1.7478,0.304816
-1.7449,0.304311
-1.739,0.303282
-1.736,0.302758
-1.73,0.301712
-1.7269,0.301171
-1.7239,0.300648
-1.7208,0.300108
-1.7147,0.299044
-1.7115,0.298486
-1.7084,0.297945
-1.7021,0.296846
-1.699,0.296306
-1.6926,0.295189
-1.6894,0.294631
-1.6862,0.294073
-1.6797,0.29294
-1.6765,0.292382
-1.6699,0.291231
-1.6666,0.290655
-1.6633,0.29008
-1.6567,0.288928
-1.6533,0.288336
-1.65,0.28776
-1.6432,0.286574
-1.6399,0.285999
-1.633,0.284795
-1.6296,0.284202
-1.6262,0.283609
-1.6193,0.282406
-1.6158,0.281796
-1.6124,0.281203
-1.6054,0.279982
-1.6019,0.279371
-1.5983,0.278744
-1.5913,0.277523
-1.5877,0.276895
-1.5806,0.275657
-1.577,0.275029
-1.5734,0.274401
-1.5661,0.273128
-1.5625,0.2725
-1.5588,0.271855
-1.5514,0.270564
-1.5477,0.269919
-1.544,0.269274
-1.5365,0.267966
-1.5328,0.26732
-1.5252,0.265995
-1.5214,0.265332
-1.5175,0.264652
-1.5098,0.263309
-1.5059,0.262629
-1.4981,0.261269
-1.4941,0.260571
-1.4901,0.259873
-1.4821,0.258478
-1.4781,0.257781
-1.4699,0.256351
-1.4658,0.255636
-1.4616,0.254903
-1.4532,0.253438
-1.449,0.252706
-1.4404,0.251206
-1.4361,0.250456
-1.4317,0.249688
-1.4229,0.248154
-1.4184,0.247369
-1.4094,0.245799
-1.4048,0.244997
-1.4002,0.244195
-1.3909,0.242573
-1.3861,0.241736
-1.3766,0.240079
-1.3717,0.239224
-1.3668,0.23837
-1.3568,0.236626
-1.3517,0.235736
-1.3415,0.233958
-1.3363,0.233051
-1.331,0.232126
-1.3203,0.23026
-1.3149,0.229319
-1.3038,0.227383
-1.2983,0.226424
-1.2869,0.224435
-1.2811,0.223424
-1.2752,0.222395
-1.2633,0.22032
