CTE, steer_value
-0.5552,0.0968269
-0.5525,0.096356
-0.5444,0.0949434
-0.5389,0.0939842
-0.5325,0.092868
-0.5168,0.0901299
-0.5076,0.0885254
-0.4864,0.0848282
-0.4745,0.0827528
-0.4478,0.0780963
-0.4332,0.0755501
-0.4176,0.0728294
-0.3841,0.066987
-0.3472,0.0605517
-0.2859,0.049861
-0.2639,0.0460242
-0.2413,0.0420827
-0.194,0.0338336
-0.1694,0.0295434
-0.1186,0.0206838
-0.0923,0.0160971
-0.0384,0.00669696
-0.0108,0.00188352
0.0455,-0.0079352
0.0742,-0.0129405
0.1031,-0.0179806
0.1615,-0.0281656
0.1909,-0.033293
0.2501,-0.0436174
0.2798,-0.0487971
0.339,-0.0591216
0.3684,-0.064249
0.4268,-0.0744339
0.4557,-0.0794741
0.5125,-0.08938
0.5404,-0.0942458
0.5948,-0.103733
0.6212,-0.108337
0.6471,-0.112854
0.6969,-0.121539
0.7208,-0.125708
0.7668,-0.13373
0.7906,-0.137881
0.8409,-0.146653
0.8676,-0.151309
0.9253,-0.161372
0.9554,-0.166622
1.0198,-0.177853
1.0511,-0.183312
1.0811,-0.188544
1.137,-0.198293
1.1628,-0.202792
1.21,-0.211024
1.2313,-0.214739
1.2689,-0.221296
1.2852,-0.224139
1.3127,-0.228935
1.3237,-0.230853
1.3495,-0.235353
1.3491,-0.235283
1.345,-0.234568
1.3311,-0.232144
1.3212,-0.230417
1.2953,-0.2259
1.2794,-0.223127
1.2616,-0.220023
1.2201,-0.212785
1.1965,-0.20867
1.1435,-0.199426
1.1142,-0.194316
1.0831,-0.188893
1.0156,-0.177121
0.9793,-0.17079
0.9414,-0.16418
0.8607,-0.150106
0.8181,-0.142677
0.7285,-0.12705
0.6816,-0.118871
0.6334,-0.110465
0.5336,-0.0930598
0.482,-0.0840608
0.4293,-0.0748699
0.3213,-0.0560347
0.2661,-0.0464078
0.2101,-0.0366414
0.0963,-0.0167947
0.0386,-0.00673184
-0.0779,0.0135858
-0.1365,0.0238056
-0.1953,0.0340603
-0.3128,0.0545523
-0.3715,0.0647896
-0.4298,0.0749571
-0.5454,0.0951178
-0.6017,0.104936
-0.7407,0.129178
-0.76,0.132544
-0.8086,0.14102
-0.8549,0.149095
-0.9408,0.164076
-0.9817,0.171208
-1.0592,0.184724
-1.0957,0.19109
-1.1306,0.197177
-1.1952,0.208443
-1.2526,0.218453
-1.3242,0.23094
-1.3616,0.237463
-1.377,0.240149
-1.3901,0.242433
-1.4094,0.245799
-1.4154,0.246846
-1.4201,0.247665
-1.4188,0.247439
-1.4149,0.246759
-1.3996,0.24409
-1.3882,0.242102
-1.3576,0.236765
-1.3385,0.233434
-1.3168,0.22965
-1.266,0.22079
-1.2368,0.215698
-1.1712,0.204257
-1.1347,0.197892
-1.0548,0.183957
-1.0114,0.176388
-0.9182,0.160134
-0.8683,0.151432
-0.8165,0.142398
-0.7071,0.123318
-0.6496,0.11329
-0.5294,0.0923274
-0.4669,0.0814274
-0.3376,0.0588774
-0.2708,0.0472275
-0.1339,0.0233522
-0.0638,0.0111267
0.079,-0.0137776
0.1516,-0.026439
0.2247,-0.0391877
0.3745,-0.0653128
0.4564,-0.0795962
0.6253,-0.109052
0.7097,-0.123772
0.8873,-0.154745
0.9781,-0.170581
1.1605,-0.202391
1.2505,-0.218087
1.4268,-0.248834
1.5129,-0.26385
1.68,-0.292992
1.7608,-0.307084
1.9159,-0.334133
1.99,-0.347056
2.1303,-0.371524
2.1964,-0.383052
2.3194,-0.404503
2.3762,-0.414409
2.4793,-0.43239
2.5256,-0.440465
2.6066,-0.454591
2.6412,-0.460625
2.6979,-0.470514
2.7199,-0.474351
2.7376,-0.477437
2.7597,-0.481292
2.764,-0.482042
2.7588,-0.481135
2.7493,-0.479478
2.7351,-0.477001
2.6929,-0.469642
2.6647,-0.464724
2.5946,-0.452498
2.5527,-0.445191
2.4553,-0.428204
2.4,-0.41856
2.3403,-0.408148
2.2082,-0.38511
2.1359,-0.372501
2.0597,-0.359212
1.8956,-0.330593
1.8079,-0.315298
1.6219,-0.282859
1.5239,-0.265768
1.4227,-0.248119
1.2115,-0.211286
1.1017,-0.192136
0.9894,-0.172551
0.7578,-0.13216
0.6387,-0.111389
0.5179,-0.0903218
0.2712,-0.0472973
0.1457,-0.0254101
0.0191,-0.00333104
-0.2367,0.0412805
-0.3656,0.0637606
-0.4948,0.0862931
-0.624,0.108826
-0.8817,0.153768
-1.265,0.220616
-1.6415,0.286278
-1.7645,0.307729
-2.0044,0.349567
-2.121,0.369902
-2.2349,0.389767
-2.3459,0.409125
-2.5582,0.44615
-2.6591,0.463747
-2.7561,0.480664
-3.0442,0.530908
-3.2975,0.575084
-3.191,0.55651
-3.1683,0.552552
-3.2715,0.57055
-3.305,0.576392
-3.3295,0.580665
-3.3616,0.586263
-3.3689,0.587536
-3.3702,0.587763
-3.355,0.585112
-3.3384,0.582217
-3.3158,0.578276
-3.2525,0.567236
-3.2118,0.560138
-3.1651,0.551993
-3.0542,0.532652
-2.9901,0.521473
-2.8448,0.496133
-2.7638,0.482007
-2.5859,0.450981
-2.489,0.434082
-2.2807,0.397754
-2.1693,0.378326
-2.0535,0.35813
-1.8091,0.315507
-1.6808,0.293132
-1.4129,0.24641
-1.2736,0.222116
-0.9859,0.171941
-0.8377,0.146095
-0.5339,0.0931122
-0.3785,0.0660104
-0.0623,0.0108651
0.0983,-0.0171435
0.4228,-0.0737363
0.5865,-0.102286
1.0795,-0.188265
1.8456,-0.321873
2.0211,-0.35248
2.4701,-0.430785
2.5581,-0.446133
2.7117,-0.47292
3.0286,-0.528188
3.1855,-0.555551
3.4852,-0.607819
3.6269,-0.632531
3.891,-0.67859
4.0141,-0.700059
4.2434,-0.740049
4.3517,-0.758936
4.5521,-0.793886
4.6502,-0.810995
4.8454,-0.845038
4.9424,-0.861955
5.1325,-0.895108
5.2214,-0.910612
5.3855,-0.939231
5.4631,-0.952765
5.61,-0.978384
5.6786,-0.990348
5.7449,-1
5.8692,-1
5.981,-1
6.0628,-1
6.0791,-1
6.07,-1
6.0486,-1
6.0175,-1
5.9329,-1
5.8805,-1
5.82,-1
5.6836,-0.99122
5.6071,-0.977878
5.5311,-0.964624
5.3515,-0.933302
5.2554,-0.916542
5.1559,-0.899189
4.9329,-0.860298
4.8195,-0.840521
4.7059,-0.820709
4.2638,-0.743607
4.0556,-0.707297
3.8386,-0.669452
3.7407,-0.652378
3.653,-0.637083
3.5024,-0.610819
3.4416,-0.600215
3.3927,-0.591687
3.3242,-0.57974
3.3007,-0.575642
3.2821,-0.572398
3.2566,-0.567951
3.2503,-0.566852
2.2069,-0.384883
2.0473,-0.357049
1.7162,-0.299305
1.5467,-0.269744
1.3723,-0.239329
1.1975,-0.208844
0.8409,-0.146653
0.6598,-0.115069
0.4781,-0.0833806
0.1108,-0.0193235
-0.0747,0.0130277
-0.2602,0.0453789
-0.4467,0.0779045
-0.8199,0.142991
-1.0063,0.175499
-1.1932,0.208094
-1.3788,0.240463
-1.5646,0.272866
-1.9332,0.33715
-2.1159,0.369013
-2.298,0.400771
-2.4774,0.432059
-2.8327,0.494023
-3.0082,0.52463
-3.1779,0.554226
-3.3428,0.582984
-3.6605,0.638391
-3.8141,0.665179
-3.9681,0.692037
-4.2628,0.743432
-4.4043,0.76811
-4.5414,0.79202
